user_id,event_date,paywall_type,action
u_xaji0y6d,2023-07-31,feature_specific,converted
u_xaji0y6d,2023-08-18,feature_specific,dismissed
u_xaji0y6d,2023-09-02,feature_specific,dismissed
u_xaji0y6d,2023-10-05,feature_specific,converted
u_pbhsahxt,2024-04-23,generic,engaged
u_pbhsahxt,2024-06-04,generic,engaged
u_hv3a3zmf,2024-07-05,generic,engaged
u_8mdd4v30,2024-07-23,generic,engaged
u_t9nt3w5u,2023-12-31,generic,engaged
u_t9nt3w5u,2024-01-03,insights_specific,engaged
u_t9nt3w5u,2024-01-07,generic,engaged
u_zbikcidk,2024-01-05,feature_specific,engaged
u_zbikcidk,2024-01-07,feature_specific,converted
u_wnnhj7xv,2023-07-25,feature_specific,converted
u_wnnhj7xv,2023-08-06,feature_specific,dismissed
u_wnnhj7xv,2023-09-01,generic,dismissed
u_wnnhj7xv,2023-10-02,generic,engaged
u_wnnhj7xv,2023-10-15,feature_specific,dismissed
u_g0fn9xuy,2023-02-09,generic,dismissed
u_g0fn9xuy,2023-02-10,generic,dismissed
u_g0fn9xuy,2023-03-19,generic,dismissed
u_41ibljh7,2024-01-25,generic,engaged
u_41ibljh7,2024-02-29,feature_specific,engaged
u_41ibljh7,2024-03-29,feature_specific,engaged
u_41ibljh7,2024-04-06,generic,dismissed
u_5lxo6qji,2024-02-28,generic,engaged
u_5lxo6qji,2024-03-06,feature_specific,engaged
u_5lxo6qji,2024-04-03,feature_specific,engaged
u_5lxo6qji,2024-04-06,feature_specific,engaged
u_5lxo6qji,2024-04-10,feature_specific,dismissed
u_ujv6oh9s,2024-06-30,feature_specific,engaged
u_ujv6oh9s,2024-07-11,feature_specific,dismissed
u_dbdw2pcn,2024-11-12,feature_specific,dismissed
u_dbdw2pcn,2024-12-06,generic,dismissed
u_9t84azyt,2023-06-12,generic,dismissed
u_9t84azyt,2023-06-16,generic,dismissed
u_9t84azyt,2023-07-24,feature_specific,engaged
u_jxepq85j,2023-10-27,feature_specific,engaged
u_jxepq85j,2023-11-19,generic,dismissed
u_jxepq85j,2023-12-07,feature_specific,engaged
u_jxepq85j,2023-12-19,generic,dismissed
u_jxepq85j,2023-12-21,feature_specific,dismissed
u_sg65kxvf,2023-04-11,feature_specific,converted
u_1t2tala7,2024-09-22,feature_specific,dismissed
u_1t2tala7,2024-11-04,feature_specific,dismissed
u_53lc58dr,2024-09-14,generic,dismissed
u_53lc58dr,2024-09-23,feature_specific,converted
u_53lc58dr,2024-09-27,feature_specific,dismissed
u_53lc58dr,2024-10-14,feature_specific,engaged
u_53lc58dr,2024-10-28,feature_specific,engaged
u_c11ertj5,2024-06-03,generic,dismissed
u_c11ertj5,2024-06-26,insights_specific,dismissed
u_pht0hl9x,2024-05-24,generic,dismissed
u_pht0hl9x,2024-05-26,feature_specific,dismissed
u_pseimvih,2023-05-28,feature_specific,dismissed
u_pseimvih,2023-05-31,feature_specific,dismissed
u_pseimvih,2023-06-03,feature_specific,engaged
u_pseimvih,2023-06-13,feature_specific,dismissed
u_pseimvih,2023-06-16,feature_specific,dismissed
u_cwi64ciy,2024-08-01,generic,engaged
u_cwi64ciy,2024-08-07,feature_specific,dismissed
u_cwi64ciy,2024-09-29,generic,dismissed
u_he7ur23g,2024-06-17,feature_specific,converted
u_he7ur23g,2024-06-19,feature_specific,converted
u_he7ur23g,2024-06-23,feature_specific,converted
u_dppq0y9d,2023-05-05,feature_specific,engaged
u_om5igqpk,2024-06-12,feature_specific,dismissed
u_om5igqpk,2024-08-18,feature_specific,converted
u_i7p5tb94,2023-08-20,generic,engaged
u_i7p5tb94,2023-10-26,generic,converted
u_i7p5tb94,2023-11-05,generic,engaged
u_874frhoc,2023-04-24,feature_specific,converted
u_874frhoc,2023-05-17,generic,dismissed
u_874frhoc,2023-05-19,generic,dismissed
u_874frhoc,2023-05-27,generic,engaged
u_874frhoc,2023-05-29,generic,dismissed
u_n9j2qp89,2023-07-02,generic,dismissed
u_uzfk8ut0,2024-07-18,generic,dismissed
u_uzfk8ut0,2024-08-06,feature_specific,engaged
u_cvs4f8cg,2024-01-05,generic,converted
u_cvs4f8cg,2024-01-10,generic,engaged
u_cvs4f8cg,2024-01-12,generic,engaged
u_vyie6ivw,2023-09-05,generic,engaged
u_pvs7hzio,2023-12-09,generic,engaged
u_pvs7hzio,2023-12-14,generic,dismissed
u_pvs7hzio,2023-12-19,generic,dismissed
u_ykl1cq99,2024-04-17,feature_specific,dismissed
u_ykl1cq99,2024-06-04,feature_specific,engaged
u_chj755nf,2024-03-27,feature_specific,dismissed
u_chj755nf,2024-03-29,feature_specific,converted
u_chj755nf,2024-04-01,feature_specific,converted
u_chj755nf,2024-04-02,feature_specific,dismissed
u_4zw9xa3k,2024-07-05,generic,dismissed
u_4zw9xa3k,2024-08-04,generic,dismissed
u_4zw9xa3k,2024-08-17,generic,dismissed
u_4zw9xa3k,2024-09-24,generic,dismissed
u_x7eedtjv,2023-03-07,generic,dismissed
u_zhwjr64d,2024-02-15,generic,dismissed
u_zhwjr64d,2024-02-18,insights_specific,engaged
u_zhwjr64d,2024-02-19,feature_specific,dismissed
u_zhwjr64d,2024-03-07,generic,engaged
u_zhwjr64d,2024-04-05,generic,dismissed
u_pja1wj0t,2023-05-16,generic,engaged
u_pja1wj0t,2023-05-17,feature_specific,engaged
u_pja1wj0t,2023-05-21,feature_specific,converted
u_pja1wj0t,2023-06-01,feature_specific,dismissed
